City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
53,ponta do sol,PT,2022-07-05 04:02:58,32.6667,-17.1,67.01,71,43,5.77,scattered clouds,0.0,0
54,kapaa,US,2022-07-05 04:02:59,22.0752,-159.319,82.38,75,75,19.57,broken clouds,0.0,0
55,superior,US,2022-07-05 04:02:21,46.7208,-92.1041,61.45,97,100,8.05,overcast clouds,0.0,0
56,busselton,AU,2022-07-05 04:02:59,-33.65,115.3333,57.29,72,100,7.92,overcast clouds,0.0,0
57,brovary,UA,2022-07-05 04:03:00,50.5,30.7667,73.89,75,9,2.04,clear sky,0.0,0
58,awjilah,LY,2022-07-05 04:03:00,29.1081,21.2869,76.53,46,0,7.25,clear sky,0.0,0
59,bengkulu,ID,2022-07-05 04:03:00,-3.8004,102.2655,84.31,67,81,5.55,light rain,0.0,0
60,sioux lookout,CA,2022-07-05 04:03:01,50.1001,-91.917,58.78,97,100,3.24,overcast clouds,0.0,0
61,barrow,US,2022-07-05 04:03:01,71.2906,-156.7887,37.42,93,100,9.22,fog,0.0,0
62,tuktoyaktuk,CA,2022-07-05 04:03:02,69.4541,-133.0374,59.49,61,54,5.14,broken clouds,0.0,0
63,upernavik,GL,2022-07-05 04:03:02,72.7868,-56.1549,37.54,89,1,11.63,clear sky,0.0,0
64,kahta,TR,2022-07-05 04:03:03,37.7855,38.6237,83.64,18,0,2.3,clear sky,0.0,0
65,bunia,CD,2022-07-05 04:00:21,1.5667,30.25,60.04,81,93,1.77,overcast clouds,0.0,0
66,hilo,US,2022-07-05 04:00:04,19.7297,-155.09,77.25,81,77,6.73,broken clouds,0.0,0
67,nanortalik,GL,2022-07-05 04:03:04,60.1432,-45.2371,43.07,92,79,4.94,broken clouds,0.0,0
68,castro,BR,2022-07-05 04:03:04,-24.7911,-50.0119,55.15,74,100,3.06,overcast clouds,0.0,0
69,la rochelle,FR,2022-07-05 04:03:05,46.1667,-1.15,56.88,82,0,9.22,clear sky,0.0,0
70,worgl,AT,2022-07-05 04:03:05,47.4833,12.0667,64.87,95,99,2.71,overcast clouds,0.0,0
71,hithadhoo,MV,2022-07-05 04:03:06,-0.6,73.0833,82.02,71,67,2.86,broken clouds,0.0,0
72,coquimbo,CL,2022-07-05 04:00:23,-29.9533,-71.3436,54.3,69,82,6.49,broken clouds,0.0,0
73,luba,GQ,2022-07-05 04:03:06,3.4568,8.5547,76.37,89,91,8.52,moderate rain,0.0,0
74,amapa,BR,2022-07-05 04:03:07,1.0,-52.0,69.33,99,8,1.28,clear sky,0.0,0
75,kruisfontein,ZA,2022-07-05 04:03:07,-34.0033,24.7314,50.9,65,32,4.29,scattered clouds,0.0,0
76,jamestown,US,2022-07-05 04:03:08,42.097,-79.2353,71.24,73,0,5.75,clear sky,0.0,0
77,butaritari,KI,2022-07-05 04:03:08,3.0707,172.7902,82.11,76,11,21.9,light rain,0.0,0
78,geraldton,AU,2022-07-05 04:03:09,-28.7667,114.6,64.81,45,100,10.36,overcast clouds,0.0,0
79,kamaishi,JP,2022-07-05 04:03:09,39.2667,141.8833,80.01,73,100,8.32,overcast clouds,0.0,0
80,vardo,NO,2022-07-05 04:03:10,70.3705,31.1107,48.18,100,100,11.5,overcast clouds,0.0,0
81,morgan city,US,2022-07-05 04:03:10,29.6994,-91.2068,80.01,88,100,4.38,overcast clouds,0.0,0
82,provideniya,RU,2022-07-05 04:03:11,64.3833,-173.3,48.36,87,100,11.18,overcast clouds,0.0,0
83,ormara,PK,2022-07-05 04:03:11,25.2088,64.6357,85.77,77,96,2.15,overcast clouds,0.0,0
84,costinesti,RO,2022-07-05 04:03:12,43.95,28.6333,67.24,45,6,2.28,clear sky,0.0,0
